timestamp,leftX,leftY,rightX,rightY
52179.878176193,nan,nan,nan,nan
52179.889015867,nan,nan,nan,nan
52179.899839857,nan,nan,nan,nan
52179.910680429,nan,nan,nan,nan
52180.024772077,nan,nan,nan,nan
52180.024883724,nan,nan,nan,nan
52180.025007465,nan,nan,nan,nan
52180.025104371,nan,nan,nan,nan
52180.025208407,nan,nan,nan,nan
52180.025354541,nan,nan,nan,nan
52180.025507285,nan,nan,nan,nan
52180.025788569,nan,nan,nan,nan
52180.025917378,nan,nan,nan,nan
52180.026018738,nan,nan,nan,nan
52180.033052764,nan,nan,nan,nan
52180.044359178,nan,nan,nan,nan
52180.055451053,nan,nan,nan,nan
52180.066531066,nan,nan,nan,nan
52180.077475723,nan,nan,nan,nan
52180.088284604,nan,nan,nan,nan
52180.099608855,nan,nan,nan,nan
52180.111232873,nan,nan,nan,nan
52180.12197664,nan,nan,nan,nan
52180.132997159,nan,nan,nan,nan
52180.144110242,nan,nan,nan,nan
52180.155265526,nan,nan,nan,nan
52180.166186158,nan,nan,nan,nan
52180.177468602,nan,nan,nan,nan
52180.188220744,nan,nan,nan,nan
52180.199671327,nan,nan,nan,nan
52180.21065263,nan,nan,nan,nan
52180.221866118,nan,nan,nan,nan
52180.232992675,nan,nan,nan,nan
52180.243901239,nan,nan,nan,nan
52180.255075404,nan,nan,nan,nan
52180.266244358,nan,nan,nan,nan
52180.277068407,nan,nan,nan,nan
52180.288125036,nan,nan,nan,nan
52180.299667602,nan,nan,nan,nan
52180.310602074,nan,nan,nan,nan
52180.321670005,nan,nan,nan,nan
52180.333059845,nan,nan,nan,nan
52180.343835002,nan,nan,nan,nan
52180.355491236,nan,nan,nan,nan
52180.366237567,nan,nan,nan,nan
52180.38728249,nan,nan,nan,nan
52180.395149207,nan,nan,nan,nan
52180.401359175,nan,nan,nan,nan
52180.410715035,nan,nan,nan,nan
52180.422436043,nan,nan,nan,nan
52180.433830232,nan,nan,nan,nan
52180.443776713,nan,nan,nan,nan
52180.454991381,nan,nan,nan,nan
52180.46645614,nan,nan,nan,nan
52180.477256675,nan,nan,nan,nan
52180.488268803,nan,nan,nan,nan
52180.499607915,nan,nan,nan,nan
52180.510715303,nan,nan,nan,nan
52180.522335246,nan,nan,nan,nan
52180.533541019,nan,nan,nan,nan
52180.544701459,nan,nan,nan,nan
52180.555079432,nan,nan,nan,nan
52180.566794082,nan,nan,nan,nan
52180.577462638,nan,nan,nan,nan
52180.589104412,nan,nan,nan,nan
52180.599913507,nan,nan,nan,nan
52180.610596697,nan,nan,nan,nan
52180.622126535,nan,nan,nan,nan
52180.633265484,nan,nan,nan,nan
52180.644158248,nan,nan,nan,nan
52180.655657768,nan,nan,nan,nan
52180.666545671,nan,nan,nan,nan
52180.677381956,nan,nan,nan,nan
52180.690452076,nan,nan,nan,nan
52180.701854019,nan,nan,nan,nan
52180.712369479,nan,nan,nan,nan
52180.724118775,nan,nan,nan,nan
52180.734715255,nan,nan,1.0871636867523193,0.17024914920330048
52180.745969236,0.9137820601463318,0.05079207196831703,1.0871636867523193,0.17024914920330048
52180.757789797,0.8184179663658142,0.03736458346247673,1.0871636867523193,0.17024914920330048
52180.76808278,0.8184179663658142,0.03736458346247673,0.7266552448272705,0.16501258313655853
52180.779591985,0.6994274258613586,0.05186229944229126,0.6748173832893372,0.17044487595558167
52180.790207728,0.5197075009346008,0.10231084376573563,0.6125096082687378,0.17282764613628387
52180.801329268,0.5197075009346008,0.10231084376573563,0.5364845395088196,0.18995891511440277
52180.813245546,0.45102882385253906,0.11752725392580032,0.4830571115016937,0.1961713582277298
52180.823345947,0.4059382379055023,0.1259860098361969,0.4372347295284271,0.19783268868923187
52180.834851915,0.4059382379055023,0.1259860098361969,0.42212915420532227,0.18320956826210022
52180.846554635,0.4162280261516571,0.12782908976078033,0.42116841673851013,0.17926345765590668
52180.856846562,0.41314467787742615,0.13252098858356476,0.41708746552467346,0.1852688491344452
52180.868144156,0.41314467787742615,0.13252098858356476,0.4178987443447113,0.191433846950531
52180.879962419,0.4082414507865906,0.15215694904327393,0.4201427400112152,0.19354400038719177
52180.890217468,0.40811777114868164,0.1556755006313324,0.41910356283187866,0.18985359370708466
52180.901430694,0.40811777114868164,0.1556755006313324,0.418403685092926,0.18891380727291107
52180.913410095,0.4063841998577118,0.1468215435743332,0.41826772689819336,0.18348191678524017
52180.923811051,0.4067617952823639,0.1518382877111435,0.41650405526161194,0.1888805776834488
52180.934850744,0.4067617952823639,0.1518382877111435,0.4158262312412262,0.18211515247821808
52180.946688572,0.4055494964122772,0.1638239622116089,0.41241297125816345,0.1909470409154892
52180.956791583,0.4065726399421692,0.16800552606582642,0.41097038984298706,0.18635137379169464
52180.968269289,0.4065726399421692,0.16800552606582642,0.4098484218120575,0.1909332424402237
52180.98002617,0.4065779447555542,0.17574718594551086,0.41197288036346436,0.18264098465442657
52180.991101996,0.40535515546798706,0.1802123337984085,0.4095369577407837,0.17988809943199158
52181.00165305,0.40535515546798706,0.1802123337984085,0.38770952820777893,0.18611904978752136
52181.013192981,0.31413865089416504,0.22028818726539612,0.3268376290798187,0.21541249752044678
52181.023486301,0.17039203643798828,0.2854714095592499,0.21096909046173096,0.27175721526145935
52181.034545965,0.17039203643798828,0.2854714095592499,0.18020695447921753,0.29495149850845337
52181.046788338,0.14649413526058197,0.2880030572414398,0.16101711988449097,0.3048245906829834
52181.057718472,0.15321007370948792,0.2857153117656708,0.16084250807762146,0.30030348896980286
52181.06788376,0.15321007370948792,0.2857153117656708,0.15835444629192352,0.29641756415367126
52181.079893832,0.150974303483963,0.28231626749038696,0.16054752469062805,0.2938280701637268
52181.090808598,0.14935940504074097,0.28092533349990845,0.16095153987407684,0.2859727442264557
52181.101142662,0.14935940504074097,0.28092533349990845,0.16091986000537872,0.2826654314994812
52181.113237106,0.1511099487543106,0.2957040071487427,0.16014781594276428,0.2842298150062561
52181.123861936,0.153152197599411,0.3027593195438385,0.15974363684654236,0.2875794470310211
52181.134523104,0.153152197599411,0.3027593195438385,0.16064563393592834,0.2899511158466339
52181.146671016,0.1522836685180664,0.28348398208618164,0.15818306803703308,0.2897026538848877
52181.15756244,0.149587020277977,0.28764021396636963,0.15706942975521088,0.2969391942024231
52181.167822521,0.149587020277977,0.28764021396636963,0.15941613912582397,0.29677456617355347
52181.179727752,0.15044750273227692,0.3019717335700989,0.16020141541957855,0.29878678917884827
52181.190859496,0.15660780668258667,0.3010142147541046,0.15956765413284302,0.29571014642715454
52181.201173129,0.15660780668258667,0.3010142147541046,0.15801817178726196,0.29583749175071716
52181.213119683,0.15607964992523193,0.30358022451400757,0.15706224739551544,0.2911974787712097
52181.223042263,0.15604843199253082,0.30908679962158203,0.15820184350013733,0.29136431217193604
52181.234020761,0.15604843199253082,0.30908679962158203,0.16166289150714874,0.30119141936302185
52181.245708814,0.15471212565898895,0.3058757781982422,0.16370122134685516,0.3048027455806732
52181.257939339,0.15794637799263,0.3062495291233063,0.16530528664588928,0.3123457729816437
52181.268183941,0.15794637799263,0.3062495291233063,0.1620829701423645,0.30602163076400757
52181.279920372,0.1589818000793457,0.3160054385662079,0.1602487713098526,0.3017112612724304
52181.290504289,0.16100448369979858,0.31375691294670105,0.16404666006565094,0.3052413761615753
52181.300931928,0.16100448369979858,0.31375691294670105,0.1679062694311142,0.3058609366416931
52181.312947319,0.16214405000209808,0.3107825517654419,0.16586463153362274,0.3146762549877167
52181.324388991,0.16211944818496704,0.3251825273036957,0.16662459075450897,0.3231183886528015
52181.334688277,0.16211944818496704,0.3251825273036957,0.16637535393238068,0.3274383842945099
52181.346572381,0.16358858346939087,0.32117995619773865,0.16898934543132782,0.3298945426940918
52181.35717935,0.16787253320217133,0.31494465470314026,0.16539297997951508,0.32488808035850525
52181.367436777,0.16787253320217133,0.31494465470314026,0.16815871000289917,0.3224398195743561
52181.380166204,0.16897277534008026,0.3219834864139557,0.16790878772735596,0.31531503796577454
52181.39186734,0.16809621453285217,0.32704687118530273,0.17034465074539185,0.3143932521343231
52181.400865121,0.16809621453285217,0.32704687118530273,0.17076171934604645,0.3137046992778778
52181.41323223,0.1670112907886505,0.33090606331825256,0.17332550883293152,0.3183474540710449
52181.423741046,0.17075705528259277,0.33157864212989807,0.17577555775642395,0.3188404142856598
52181.434561288,0.17075705528259277,0.33157864212989807,0.1732989400625229,0.32929807901382446
52181.44725492,0.1672363132238388,0.3240801692008972,0.17066307365894318,0.3350159525871277
52181.457733234,0.16648247838020325,0.3274489939212799,0.1700136363506317,0.3337845206260681
52181.467597504,0.16648247838020325,0.3274489939212799,0.17293940484523773,0.329039990901947
52181.479732126,0.1700947880744934,0.3283662497997284,0.1735301911830902,0.322493314743042
52181.490201883,0.16844893991947174,0.32848623394966125,0.17382510006427765,0.3262997567653656
52181.501132384,0.16844893991947174,0.32848623394966125,0.17335882782936096,0.32072752714157104
52181.513366785,0.1639532744884491,0.3345252573490143,0.17625047266483307,0.3178541660308838
52181.523893489,0.16730757057666779,0.3341800272464752,0.17652066051959991,0.31580787897109985
52181.533743879,0.16730757057666779,0.3341800272464752,0.17679697275161743,0.3227130174636841
52181.545807428,0.16938242316246033,0.3275090456008911,0.1758061945438385,0.32759618759155273
52181.556988434,0.1635846346616745,0.31955525279045105,0.17487630248069763,0.3294548988342285
52181.56767881,0.1635846346616745,0.31955525279045105,0.17425435781478882,0.3241492509841919
52181.57994218,0.16454367339611053,0.3174631893634796,0.1695946305990219,0.31750547885894775
52181.590132182,0.16396751999855042,0.3243849575519562,0.17021909356117249,0.3153402507305145
52181.600665486,0.16396751999855042,0.3243849575519562,0.16861696541309357,0.31028562784194946
52181.612678159,0.1656908392906189,0.3315010070800781,0.17584575712680817,0.31949520111083984
52181.6241539,0.16746756434440613,0.3258827030658722,0.17412430047988892,0.3180199861526489
52181.634388119,0.16746756434440613,0.3258827030658722,0.17486685514450073,0.3222350776195526
52181.646578404,0.1657171994447708,0.31893399357795715,0.17547006905078888,0.31756600737571716
52181.657358566,0.1644662618637085,0.31761062145233154,0.17317788302898407,0.32102781534194946
52181.667357083,0.1644662618637085,0.31761062145233154,0.17003212869167328,0.3248690962791443
52181.679598962,0.17762118577957153,0.2804604768753052,0.17925648391246796,0.29753801226615906
52181.690694351,0.2052275538444519,0.18561798334121704,0.21475206315517426,0.2033604234457016
52181.700864506,0.2052275538444519,0.18561798334121704,0.23436231911182404,0.1522180587053299
52181.712781803,0.22185103595256805,0.14404428005218506,0.2431437373161316,0.1172526627779007
52181.723820503,0.23379994928836823,0.1357937902212143,0.2398369163274765,0.11637565493583679
52181.734115893,0.23379994928836823,0.1357937902212143,0.2392456829547882,0.11571303755044937
52181.746328698,0.23258984088897705,0.12932077050209045,0.24104256927967072,0.10960623621940613
52181.757177073,0.22812451422214508,0.1252274066209793,0.24176786839962006,0.0955953449010849
52181.767391921,0.22812451422214508,0.1252274066209793,0.23704519867897034,0.0883045494556427
52181.779532256,0.22915863990783691,0.12368237972259521,0.23667261004447937,0.08291953802108765
52181.789884711,0.23060467839241028,0.1076696589589119,0.23401054739952087,0.08129068464040756
52181.800711239,0.23060467839241028,0.1076696589589119,0.2344728708267212,0.08168763667345047
52181.812780169,0.23196376860141754,0.10285943746566772,0.23291289806365967,0.08320535719394684
52181.823747513,0.22959144413471222,0.10796219110488892,0.23416489362716675,0.07811308652162552
52181.834147737,0.22959144413471222,0.10796219110488892,0.2351144552230835,0.07874942570924759
52181.846238046,0.22715775668621063,0.10968630015850067,0.2340386062860489,0.07772543281316757
52181.85682238,0.22137294709682465,0.09983903169631958,0.23218728601932526,0.07157458364963531
52181.867290087,0.22137294709682465,0.09983903169631958,0.23370833694934845,0.07157287746667862
52181.880208957,0.21914474666118622,0.08783932775259018,0.2388732135295868,0.06930094957351685
52181.890162968,0.22394543886184692,0.09397703409194946,0.24109548330307007,0.07070111483335495
52181.900626623,0.22394543886184692,0.09397703409194946,0.23845021426677704,0.06548184901475906
52181.913002652,0.2315988391637802,0.10174909979104996,0.2340732365846634,0.06854946166276932
52182.025581593,0.2301860898733139,0.10228526592254639,0.22998034954071045,0.06884295493364334
52182.02572055,0.2301860898733139,0.10228526592254639,0.23053881525993347,0.07203593105077744
52182.025840492,0.2253750115633011,0.10067201405763626,0.23443764448165894,0.06961879879236221
52182.025959543,0.22519530355930328,0.09677150845527649,0.238134503364563,0.06849054247140884
52182.026077431,0.22519530355930328,0.09677150845527649,0.24628189206123352,0.05505497008562088
52182.026190456,0.23220467567443848,0.1389276087284088,0.24627064168453217,0.049581632018089294
52182.026309283,0.24667888879776,0.20370495319366455,0.2681414783000946,0.01951916329562664
52182.026424755,0.24667888879776,0.20370495319366455,nan,nan
52182.026605064,nan,nan,nan,nan
52182.026758634,nan,nan,nan,nan
