timestamp,GSR,PPG
6934.948815423,2602.2529296875,1079.120849609375
6934.981291808,2599.249755859375,1079.120849609375
6934.982324299,2602.2529296875,1082.05126953125
6935.014851588,2602.2529296875,1079.853515625
6935.049084365,2602.2529296875,1079.120849609375
6935.049181411,2602.2529296875,1079.120849609375
6935.115025738,2602.2529296875,1079.120849609375
6935.116458637,2602.2529296875,1079.120849609375
6935.117446613,2602.2529296875,1078.3883056640625
6935.122516031,2602.2529296875,1078.3883056640625
6935.154809298,2602.2529296875,1078.3883056640625
6935.187521657,2602.2529296875,1079.120849609375
6935.188484062,2602.2529296875,1078.3883056640625
6935.235048685,2605.26318359375,1079.120849609375
6935.236437304,2602.2529296875,1081.3187255859375
6935.23748452,2602.2529296875,1079.853515625
6935.269916996,2602.2529296875,1079.120849609375
6935.302607762,2602.2529296875,1079.120849609375
6935.303477558,2602.2529296875,1078.3883056640625
6935.336216521,2605.26318359375,1078.3883056640625
6935.368548745,2605.26318359375,1081.3187255859375
6935.369715808,2602.2529296875,1082.783935546875
6935.414952354,2602.2529296875,1080.5860595703125
6935.415949998,2605.26318359375,1079.120849609375
6935.417607288,2602.2529296875,1081.3187255859375
6935.44999642,2602.2529296875,1079.853515625
6935.482496806,2602.2529296875,1079.120849609375
6935.483524186,2602.2529296875,1079.120849609375
6935.51625359,2602.2529296875,1078.3883056640625
6935.548537306,2602.2529296875,1079.120849609375
6935.549735896,2602.2529296875,1078.3883056640625
6935.582659147,2602.2529296875,1078.3883056640625
6935.583932402,2599.249755859375,1078.3883056640625
6935.616126951,2602.2529296875,1082.05126953125
6935.620994961,2602.2529296875,1079.853515625
6935.653760172,2602.2529296875,1079.120849609375
6935.711292305,2602.2529296875,1079.120849609375
6935.712470671,2605.26318359375,1079.120849609375
6935.713645523,2602.2529296875,1081.3187255859375
6935.746018278,2599.249755859375,1079.853515625
6935.747419191,2602.2529296875,1082.783935546875
6935.77977527,2602.2529296875,1080.5860595703125
6935.780987348,2602.2529296875,1079.120849609375
6935.813505874,2602.2529296875,1079.120849609375
6935.846160564,2602.2529296875,1079.120849609375
6935.847359781,2602.2529296875,1079.120849609375
6935.874780531,2605.26318359375,1078.3883056640625
6935.875909595,2602.2529296875,1081.3187255859375
6935.908774715,2602.2529296875,1079.853515625
6935.940974995,2602.2529296875,1079.120849609375
6935.942304069,2602.2529296875,1079.120849609375
6935.974953981,2605.26318359375,1079.120849609375
6936.011116675,2602.2529296875,1081.3187255859375
6936.012308074,2605.26318359375,1079.853515625
6936.045074538,2605.26318359375,1081.3187255859375
6936.046072244,2605.26318359375,1082.783935546875
6936.078753022,2605.26318359375,1082.783935546875
6936.083873022,2605.26318359375,1083.5164794921875
6936.116170369,2608.2802734375,1082.783935546875
6936.14998599,2605.26318359375,1080.5860595703125
6936.15102332,2608.2802734375,1082.05126953125
6936.183878648,2605.26318359375,1079.120849609375
6936.185206563,2611.304443359375,1082.05126953125
6936.217552929,2608.2802734375,1079.120849609375
6936.218538427,2608.2802734375,1078.3883056640625
6936.251244566,2611.304443359375,1077.6556396484375
6936.32363793,2611.304443359375,1076.923095703125
6936.324785899,2617.37353515625,1077.6556396484375
6936.326103113,2620.4189453125,1076.1904296875
6936.331188696,2626.530517578125,1073.99267578125
6936.363668604,2660.66162109375,1076.1904296875
6936.364678268,2648.148193359375,1213.186767578125
6936.397532991,2648.148193359375,1283.5164794921875
6936.398603393,2651.265380859375,1317.216064453125
6936.456287024,2605.26318359375,1320.146484375
6936.457455966,2614.33544921875,1194.871826171875
6936.465080258,2614.33544921875,1131.135498046875
6936.515053445,2638.840087890625,1100.3663330078125
6936.516107888,2645.0380859375,1076.923095703125
6936.51764912,2645.0380859375,1221.97802734375
6936.549930273,2645.0380859375,1289.3773193359375
6936.618865266,2641.935546875,1321.6116943359375
6936.619868282,2645.0380859375,1340.6593017578125
6936.621000528,2645.0380859375,1345.78759765625
6936.622479157,2645.0380859375,1348.7178955078125
6936.654932689,2645.0380859375,1349.4505615234375
6936.687469725,2641.935546875,1350.18310546875
6936.688654261,2641.935546875,1353.84619140625
6936.721282503,2641.935546875,1356.776611328125
6936.72233376,2648.148193359375,1357.5091552734375
6936.754981088,2645.0380859375,1353.113525390625
6936.762371287,2645.0380859375,1352.3809814453125
6936.794925245,2651.265380859375,1352.3809814453125
6936.827655121,2651.265380859375,1346.5201416015625
6936.82861456,2651.265380859375,1345.054931640625
6936.861370163,2654.39013671875,1343.5897216796875
6936.862381937,2660.66162109375,1344.3223876953125
6936.923747664,2670.12451171875,1339.9267578125
6936.924897694,2673.293701171875,1331.8681640625
6936.926042139,2679.655029296875,1326.7398681640625
6936.958633008,2682.846923828125,1321.6116943359375
6936.964855321,2689.253662109375,1317.216064453125
6936.997741438,2692.468505859375,1309.89013671875
6936.998746789,2695.691162109375,1306.959716796875
6937.031410262,2682.846923828125,1302.5640869140625
6937.063668301,2679.655029296875,1306.959716796875
6937.064843372,2676.470703125,1312.820556640625
6937.097437299,2676.470703125,1314.2857666015625
6937.102442476,2676.470703125,1315.7509765625
6937.155064683,2673.293701171875,1315.7509765625
6937.156093418,2670.12451171875,1319.4139404296875
6937.157706835,2673.293701171875,1321.6116943359375
6937.221335507,2670.12451171875,1322.3443603515625
6937.222304599,2670.12451171875,1323.8095703125
6937.223703643,2670.12451171875,1323.8095703125
6937.25615527,2670.12451171875,1324.5421142578125
6937.288679707,2666.962646484375,1324.5421142578125
6937.289826345,2666.962646484375,1327.4725341796875
6937.322729806,2666.962646484375,1329.6702880859375
