leftX,leftY,rightX,rightY
(0.19597387313842773, 0.5162982940673828),(0.20884524285793304, 0.48603135347366333)
(0.18355149030685425, 0.47858908772468567),(0.20138053596019745, 0.4669659435749054)
(0.18355149030685425, 0.47858908772468567),(0.1943407952785492, 0.4716593623161316)
(0.1873747855424881, 0.46913063526153564),(0.19995863735675812, 0.46330180764198303)
(0.18579600751399994, 0.48316311836242676),(0.19875405728816986, 0.4653281271457672)
(0.18579600751399994, 0.48316311836242676),(0.2009885162115097, 0.46259835362434387)
(0.17659293115139008, 0.4876084625720978),(0.19768378138542175, 0.46275949478149414)
(0.17775045335292816, 0.4776434302330017),(0.1998797059059143, 0.4625999331474304)
(0.17775045335292816, 0.4776434302330017),(0.2013465017080307, 0.46036872267723083)
(0.17470096051692963, 0.47671201825141907),(0.1997130662202835, 0.4569363296031952)
(0.17278937995433807, 0.4899140000343323),(0.19880935549736023, 0.4474073052406311)
(0.17278937995433807, 0.4899140000343323),(0.19559361040592194, 0.45015934109687805)
(0.17715273797512054, 0.49869033694267273),(0.19755801558494568, 0.4530395567417145)
(0.18655739724636078, 0.49830251932144165),(0.1989172399044037, 0.45523908734321594)
(0.18655739724636078, 0.49830251932144165),(0.19952815771102905, 0.4541967809200287)
(0.18713374435901642, 0.4920118749141693),(0.19985996186733246, 0.46024981141090393)
(0.18095959722995758, 0.4815096855163574),(0.20031137764453888, 0.4633893370628357)
(0.18095959722995758, 0.4815096855163574),(0.19581496715545654, 0.4645141065120697)
(0.18203262984752655, 0.4782000482082367),(0.18826015293598175, 0.4505304992198944)
(0.17159275710582733, 0.467563271522522),(0.17803357541561127, 0.4329405128955841)
(0.17159275710582733, 0.467563271522522),(0.17836110293865204, 0.420340895652771)
(0.16557425260543823, 0.4613898992538452),(0.17229615151882172, 0.4117593765258789)
(0.161949023604393, 0.45986321568489075),(0.17127598822116852, 0.4191701114177704)
(0.161949023604393, 0.45986321568489075),(0.17061038315296173, 0.41914233565330505)
(0.15895040333271027, 0.44942229986190796),(0.17397119104862213, 0.4295656383037567)
(0.1587613821029663, 0.44534993171691895),(0.1755390614271164, 0.4306333661079407)
(0.1587613821029663, 0.44534993171691895),(0.17293775081634521, 0.43552523851394653)
(0.16058801114559174, 0.4494260847568512),(0.17452554404735565, 0.4305863678455353)
(0.16570916771888733, 0.45435306429862976),(0.17478205263614655, 0.42273691296577454)
(0.16570916771888733, 0.45435306429862976),(0.16964620351791382, 0.4154292047023773)
(0.16763608157634735, 0.45578381419181824),(0.16739264130592346, 0.4089987874031067)
(0.16472017765045166, 0.46117550134658813),(0.16590052843093872, 0.41979146003723145)
(0.16472017765045166, 0.46117550134658813),(0.16728489100933075, 0.42155319452285767)
(0.15950600802898407, 0.4646628201007843),(0.1665547490119934, 0.4271821081638336)
(0.16219310462474823, 0.45183056592941284),(0.1667756736278534, 0.41873735189437866)
(0.16219310462474823, 0.45183056592941284),(0.16664907336235046, 0.4175630807876587)
(0.16512705385684967, 0.4541107416152954),(0.16837382316589355, 0.41474851965904236)
(0.16320045292377472, 0.46130892634391785),(0.16781355440616608, 0.4178818166255951)
(0.16320045292377472, 0.46130892634391785),(0.16768626868724823, 0.4236394464969635)
(0.15932533144950867, 0.4549873173236847),(0.16584978997707367, 0.4191049039363861)
(0.1603679656982422, 0.4530176818370819),(0.17063279449939728, 0.4173293709754944)
(0.1603679656982422, 0.4530176818370819),(0.1761777400970459, 0.4119810461997986)
(0.16608209908008575, 0.460971862077713),(0.17555047571659088, 0.42359068989753723)
(0.16555722057819366, 0.47691810131073),(0.17452846467494965, 0.42554962635040283)
(0.16555722057819366, 0.47691810131073),(0.17411744594573975, 0.43523913621902466)
(0.15844567120075226, 0.4774376451969147),(0.17394229769706726, 0.4379318654537201)
(0.16585849225521088, 0.48398134112358093),(0.16958267986774445, 0.4337087571620941)
(0.16585849225521088, 0.48398134112358093),(0.1654878705739975, 0.4383166432380676)
(0.16777394711971283, 0.4873438775539398),(0.1698354035615921, 0.440098375082016)
(0.16270242631435394, 0.47916489839553833),(0.16665759682655334, 0.45011472702026367)
(0.16270242631435394, 0.47916489839553833),(0.16542501747608185, 0.44468891620635986)
(0.16352203488349915, 0.4788895845413208),(0.16391761600971222, 0.43818235397338867)
(0.1590086668729782, 0.47468534111976624),(0.16686266660690308, 0.43580928444862366)
(0.1590086668729782, 0.47468534111976624),(0.16934546828269958, 0.42999470233917236)
(0.163726806640625, 0.47286105155944824),(0.1678200513124466, 0.4349353015422821)
(0.16766908764839172, 0.4658716320991516),(0.1662840098142624, 0.43857431411743164)
(0.16766908764839172, 0.4658716320991516),(0.16949620842933655, 0.4418047368526459)
(0.1650804579257965, 0.4649709463119507),(0.17268143594264984, 0.44519704580307007)
(0.16164541244506836, 0.481221079826355),(0.17897582054138184, 0.4503007233142853)
(0.16164541244506836, 0.481221079826355),(0.17293882369995117, 0.44873231649398804)
(0.15835320949554443, 0.4727371037006378),(0.1710185408592224, 0.44716519117355347)
(0.15855839848518372, 0.45718926191329956),(0.16794627904891968, 0.4461006820201874)
(0.15855839848518372, 0.45718926191329956),(0.1706877201795578, 0.44624894857406616)
(0.1609773486852646, 0.46085038781166077),(0.1695813089609146, 0.4464799463748932)
(0.16273005306720734, 0.46831101179122925),(0.16762658953666687, 0.44387194514274597)
(0.16273005306720734, 0.46831101179122925),(0.16642674803733826, 0.44018200039863586)
(0.16501891613006592, 0.4760533273220062),(0.16775155067443848, 0.43304505944252014)
(0.16342534124851227, 0.47595763206481934),(0.1675804704427719, 0.42813780903816223)
(0.16342534124851227, 0.47595763206481934),(0.174870103597641, 0.42568400502204895)
(0.18433406949043274, 0.4291279911994934),(0.20673251152038574, 0.38077929615974426)
(0.24847176671028137, 0.29475119709968567),(0.25903525948524475, 0.2847011983394623)
(0.24847176671028137, 0.29475119709968567),(0.3077598810195923, 0.2098105251789093)
(0.29024702310562134, 0.19193466007709503),(0.33136236667633057, 0.1478540599346161)
(0.31635716557502747, 0.15889517962932587),(0.3364092707633972, 0.11742442846298218)
(0.31635716557502747, 0.15889517962932587),(0.3247007131576538, 0.11611943691968918)
(0.3198431432247162, 0.15424489974975586),(0.32227715849876404, 0.11597844958305359)
(0.32199597358703613, 0.15752558410167694),(0.32540398836135864, 0.11811499297618866)
(0.32199597358703613, 0.15752558410167694),(0.33182790875434875, 0.11597888916730881)
(0.31878378987312317, 0.16070018708705902),(0.33236122131347656, 0.10996516048908234)
